date,vehicle,vehicle_name,vehicle_type,capacity_kg,used_capacity_kg,store,arrival_min,arrival_time,tw_start_min,tw_end_min,tw_start_time,tw_end_time,load_kg
2026-01-02,8,Fixed-All Over JH-9,Fixed,1800,1797,ASM Imli Chowk Harmu,693,11:33,720,840,12:00,14:00,1797
2026-01-02,9,Fixed-All Over JH-10,Fixed,1800,1215,AM Dimna Paridih Rd Dimna JSR,423,07:03,420,540,07:00,09:00,145
2026-01-02,9,Fixed-All Over JH-10,Fixed,1800,1215,AM Baradwari JSR,446,07:26,540,660,09:00,11:00,692
2026-01-02,9,Fixed-All Over JH-10,Fixed,1800,1215,AM Railway Colony JDR,472,07:52,540,660,09:00,11:00,1048
2026-01-02,9,Fixed-All Over JH-10,Fixed,1800,1215,AM Rd Number 10 Adityapur 2 JSR,488,08:08,540,660,09:00,11:00,1215
2026-01-02,10,Fixed-All Over JH-11,Fixed,1800,1558,ASM Chhota Govindpur JD,417,06:57,540,660,09:00,11:00,640
2026-01-02,10,Fixed-All Over JH-11,Fixed,1800,1558,AM TELCO NEW JSR,440,07:20,600,720,10:00,12:00,1183
2026-01-02,10,Fixed-All Over JH-11,Fixed,1800,1558,AM New Rd No 1 Sankosai JSR,467,07:47,480,600,08:00,10:00,1341
2026-01-02,10,Fixed-All Over JH-11,Fixed,1800,1558,AM Zakirnagar New JSR,486,08:06,600,720,10:00,12:00,1558
2026-01-02,11,Fixed-All Over JH-12,Fixed,1800,1675,AM Mahaveer Trade Center Gamharia JSR,420,07:00,420,540,07:00,09:00,125
2026-01-02,11,Fixed-All Over JH-12,Fixed,1800,1675,AM MANGO 15 JSR,456,07:36,480,600,08:00,10:00,1299
2026-01-02,11,Fixed-All Over JH-12,Fixed,1800,1675,AM Chepapul JSR,472,07:52,480,600,08:00,10:00,1580
2026-01-02,11,Fixed-All Over JH-12,Fixed,1800,1675,AM Kendih Main Rd Kapali JSR,489,08:09,540,660,09:00,11:00,1675
2026-01-02,12,Fixed-All Over JH-13,Fixed,1800,1669,AM Premnagar Rd No 3 Latma RNC,671,11:11,660,780,11:00,13:00,924
2026-01-02,12,Fixed-All Over JH-13,Fixed,1800,1669,AM Khunti Road Tupudana Chowk RNC,694,11:34,720,840,12:00,14:00,1669
2026-01-02,13,Fixed-All Over JH-14,Fixed,1800,1708,AM Kathal More RNC,420,07:00,420,540,07:00,09:00,29
2026-01-02,13,Fixed-All Over JH-14,Fixed,1800,1708,AM RIMS Jora Talab RNC,457,07:37,420,540,07:00,09:00,521
